time,text,image,likes,comments,source
2019-07-16 02:43:31, Someone help,https://scontent-amt2-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/66798385_2122805714497648_5406171504087924736_n.jpg?_nc_cat=109&_nc_ohc=V_KvZWmFDiQAQnM0XBjZJqZTEK5OjGY2VCtKVMKN0Mu9GKQTfNiEsVszg&_nc_ht=scontent-amt2-1.xx&_nc_tp=12&oh=c8305cfc2182062707657bb0302000a6&oe=5EAC6E24,1,0,0
2018-12-12 23:47:14, Olive-skinned Male (half-East Asian looking) Economics student doing International Trade (ECON0023). You kind of look like Joseph Gordon-Levitt and have such a warm smile *swoon*,,0,0,0
2018-09-08 07:16:22," I hope one day you come to your senses and realise that I’m the best for you, and I hope that day doesn’t come too late.",,0,1,0
2020-01-04 15:26:18," Hello! The UCL LGBT+ Network has decided to organise some events and put up installations on campus for LGBT History Month. The installations include a zines exhibition (artwork and writings) and an LGBT+ student experiences installation, so we would like to ask LGBT+ students to submit some zines related to LGBT+, or simply write… More about experiences/stories as LGBT+ students before coming to UCL or at UCL. They will be put up on the installations anonymously (unless you identify yourself in your submissions). The submission links are as follows: Zines (artwork and writings): … More",,3,0,0
2018-10-13 02:09:41, Postmodernist historiography is a shock to the system.,https://scontent-amt2-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/43828682_303451623592063_4668012233886793728_o.jpg?_nc_cat=108&_nc_ohc=cSxKEDepWwYAX_Dn3f8&_nc_ht=scontent-amt2-1.xx&_nc_tp=12&oh=67d59742846a95ade3d63e7b0bb03953&oe=5EA500FA,15,0,1
2019-10-14 13:06:26, The amount of girls that don’t even wash their hands in halls is gross ngl,,1,0,1
2017-12-14 16:26:59," To the Middle East/Asian girl doing 3rd year law; saw you going into the Darwin lecture theatre for your 2pm lecture on Thursday, thought you were really pretty but I didn't have the balls to get your number 😢 Drinks with a second year physicist if you're free over the holidays?",,1,1,0
2017-12-12 21:14:00," Tall, steely smoker in the long trench coat at ifor. Please notice me as I walk past you each day",,1,1,0
2017-11-28 22:42:46, To the Year 2 salsa medic Stop making the bait  posts 😘,,1,2,0
2017-11-28 11:04:54, to the tall japanese IMB fresher - are u single and straight?,,0,1,0
