time,text,image,likes,comments,source
2019-12-08 16:45:28,"Hey guys would be great if you could post it its a great oppurtunity! TRIP is infused with CBD to give your mind clarity and your body balance - so you can relax into your best self ✌️ We are… More on the lookout for out-going graduates to make TRIP famous in their city and join our Brand Ambassador TRIP tribe 👌 We have just launched in Planet Organic, Harvey Nichols, Revita and many other locations and we are looking to grow! Are you looking to choose your own hours and join the sales team of the most exciting wellness brand in the UK? Earn at a highly competitive hourly rate + bonus! Send your CV to us at Hello@drink-trip.com! As a TRIP Brand Ambassador you’ll be working on… More",https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/79674790_523265058277384_6070732085855780864_n.jpg?_nc_cat=109&_nc_ohc=hWpjz8Mf3fkAX_T5JBb&_nc_ht=scontent-hkg3-2.xx&_nc_tp=12&oh=38a2e3a452f39d3433931ba392140092&oe=5ED1BD5F,0,0,1
2018-04-28 09:29:07,"To the girl on the 4th Floor Silent Zone with brown curly hair, wearing the burgundy knitted jumper: Next time I get up, come with me and I'll buy you a coffee. OM (The guy to your immediate right)",,0,1,1
2020-01-10 12:56:41,"What's the best way to get a flexible job in London that could actually fit around my studies? I'm desperate for money, London is so expensive :-(",,1,5,0
2019-05-22 10:21:28,please pipe down you fucking fedora,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/60853984_2033000683478152_6740326334934810624_n.jpg?_nc_cat=105&_nc_ohc=h__EZY-V7YYAX_N8XqF&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=5088dbbd75818248e7cdb07a44e5b124&oe=5E8EA0F1,0,0,0
2018-09-29 21:28:24,So excited to be back at LSE...,https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/42821314_298769067393652_5273325287994556416_n.jpg?_nc_cat=107&_nc_ohc=LFAVbByOsgIAX8UcyRD&_nc_ht=scontent-hkg3-2.xx&_nc_tp=12&oh=b5edf950781e5fa8cdf29f1ad56ae27a&oe=5E93FC60,119,28,1
2018-09-04 06:35:46,None of the boys here can compare to MY Prime Minister 🙄,https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/40658721_1677922202319337_8587935830184558592_n.jpg?_nc_cat=110&_nc_ohc=HpcIojKhE80AX-kA9NC&_nc_ht=scontent-hkg3-2.xx&_nc_tp=12&oh=00e6dac04205c568583a3ac909b5c5d2&oe=5E8FF988,45,10,0
2018-04-15 18:54:54,JTA bside what is your ETA to my place xxxx,,5,1,1
2019-05-01 14:37:56,When you see a King’s student stepping on LSE’s turf,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/58724850_389242548346303_4647270741597749248_n.jpg?_nc_cat=105&_nc_ohc=996sfkQgdfsAX9UIS7k&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=6c423fb1e694f3bdedcc9dcf4da3917d&oe=5E9CBE3D,30,12,1
2019-02-22 10:07:06,Great nation,https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/52883793_359431404660751_5321329016475484160_n.jpg?_nc_cat=101&_nc_ohc=BiB4OpPfwCgAX_y4Cwq&_nc_ht=scontent-hkg3-1.xx&_nc_tp=12&oh=b3b22a1f3f52040913cbfa4ab764f132&oe=5EA27EAF,222,34,1
2018-09-20 02:46:22,Are there any side effects from CBD oil?,,0,0,0
